"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"正确账密登录 → 已进入后台首页（侧边栏可见）","79","正确账密登录成功，跳转到首页","tests","2026-06-01","passed","2026-06-01","TestAdminLogin","test_admin_ui","",""
"进入课程管理页，页面应正常加载","1670","进入课程管理页面，能正常加载","tests","2026-06-01","passed","2026-06-01","TestAdminCourseManagement","test_admin_ui","",""
"访问 App 首页，页面应正常加载不报错","1551","首页能正常加载","tests","2026-06-01","passed","2026-06-01","TestAppHome","test_app_ui","",""
"正确账密登录 → 对话框关闭，回到首页","22160","正确手机号和密码登录成功","tests","2026-06-01","passed","2026-06-01","TestAppLogin","test_app_ui","",""
"课程列表应有数据（如果有的话）","2046","课程列表有数据或正常展示","tests","2026-06-01","skipped","2026-06-01","TestTeacherCourseUI","test_teacher_ui","",""
"输入不存在的关键字搜索 → 结果为空或0条","8126","搜索不存在的学员，结果应为空","tests","2026-06-01","passed","2026-06-01","TestAdminMemberManagement","test_admin_ui","",""
"学员登录后访问某课程详情页","3378","已登录学员访问课程详情页","tests","2026-06-01","passed","2026-06-01","TestAppCourseBrowsing","test_app_ui","",""
"错误密码 → 登录失败，停留在 /login","3405","错误密码登录失败，页面停留在登录页","tests","2026-06-01","passed","2026-06-01","TestTeacherLogin","test_teacher_ui","",""
"正确手机号登录 → 已进入讲师后台首页（导航菜单可见）","60","正确手机号和密码登录成功","tests","2026-06-01","passed","2026-06-01","TestTeacherLogin","test_teacher_ui","",""
"错误密码 → 对话框仍然显示（登录失败）","4845","错误密码登录失败","tests","2026-06-01","passed","2026-06-01","TestAppLogin","test_app_ui","",""
"进入学员管理页，学员列表表格应有数据","11196","进入学员管理页面，表格正常加载数据","tests","2026-06-01","passed","2026-06-01","TestAdminMemberManagement","test_admin_ui","",""
"不填写直接点登录 → ElementUI 表单校验拦截","2959","空账号密码登录失败","tests","2026-06-01","passed","2026-06-01","TestAdminLogin","test_admin_ui","",""
"课程列表页正常加载","1633","进入课程列表页面，能正常加载","tests","2026-06-01","passed","2026-06-01","TestTeacherCourseUI","test_teacher_ui","",""
"未注册手机号 → 登录失败","3478","未注册手机号登录失败","tests","2026-06-01","passed","2026-06-01","TestTeacherLogin","test_teacher_ui","",""
"错误密码 → 登录失败，URL 仍在 /login","1448","错误密码登录失败，页面停留在登录页","","2026-06-01","passed","2026-06-01","","","",""
"错误密码 → 登录失败，URL 仍在 /login","3397","错误密码登录失败，页面停留在登录页","tests","2026-06-01","passed","2026-06-01","TestAdminLogin","test_admin_ui","",""
"访问课程列表页，能展示内容","3487","课程列表页正常展示课程","tests","2026-06-01","passed","2026-06-01","TestAppCourseBrowsing","test_app_ui","",""
"首页应显示课程卡片列表","3595","首页展示课程卡片","tests","2026-06-01","passed","2026-06-01","TestAppHome","test_app_ui","",""
